	title	link	salary_min	salary_max	salary_currency	source
0	Бортпроводник	https://hh.ru/vacancy/48216243		110000.0	руб.	hh.ru
1	Менеджер по работе с аккаунтами Wildberries	https://hh.ru/vacancy/51714916	50000.0	80000.0	руб.	hh.ru
2	Консультант чат-поддержки Медиасервисов (КиноПоиск; Афиша; Музыка; Плюс)	https://hh.ru/vacancy/51058915		20000.0	руб.	hh.ru
3	Водитель-экспедитор / Курьер	https://hh.ru/vacancy/51482898	82960.0	101726.0	руб.	hh.ru
4	Менеджер по сопровождению клиентов УДАЛЕННО	https://hh.ru/vacancy/49407236	70000.0	135000.0	руб.	hh.ru
5	Комплектовщик/комплектовщица на склад	https://hh.ru/vacancy/51635200	97000.0	150000.0	руб.	hh.ru
6	Управляющий на яхту (Purser)	https://hh.ru/vacancy/51860732	2500.0	3000.0	EUR	hh.ru
7	Бухгалтер по выписке накладных	https://hh.ru/vacancy/51646096		1450.0	бел.руб.	hh.ru
8	Заботливый куратор в Арт-школу и студию	https://hh.ru/vacancy/51859137		35000.0	руб.	hh.ru
9	Комплектовщик-Упаковщик; Москва	https://hh.ru/vacancy/50646214	80000.0	105000.0	руб.	hh.ru
10	Product Manager в международный проект	https://hh.ru/vacancy/51651398	220000.0	250000.0	руб.	hh.ru
11	Работник склада	https://hh.ru/vacancy/51907047	180000.0	250000.0	KZT	hh.ru
12	Специалист по выписке счетов-фактур	https://hh.ru/vacancy/51843491	1000.0	2500.0	бел.руб.	hh.ru
13	Administrative Operations Manager / Операционный менеджер	https://hh.ru/vacancy/51207048		1500.0	USD	hh.ru
14	Оператор call-центра (на дому)	https://hh.ru/vacancy/51623154		40000.0	руб.	hh.ru
15	Junior UX/UI designer	https://hh.ru/vacancy/51615129				hh.ru
16	Кассир	https://hh.ru/vacancy/51608606		162688.0	KZT	hh.ru
17	Личный помощник руководителя	https://hh.ru/vacancy/51598590	1500.0	2600.0	бел.руб.	hh.ru
